dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
gap,sssp,sssp.twitter-900B,100000004,306420859,0.326349,7005335,598592,6406743,64.0674,0.914552,6406741,0.914552,2,2.85497e-07,0,0,0,0,0,0
gap,sssp,sssp.urand-3381B,100000005,596771086,0.167568,7827828,183228,7644600,76.446,0.976593,7644600,0.976593,0,0,0,0,0,0,0,0
gap,sssp,sssp.urand-3988B,100000005,572893645,0.174552,7801277,240025,7561252,75.6125,0.969233,7561252,0.969233,0,0,0,0,0,0,0,0
gap,sssp,sssp.urand-4669B,100000002,598246310,0.167155,7676838,327226,7349612,73.4961,0.957375,7349612,0.957375,0,0,0,0,0,0,0,0
gap,sssp,sssp.urand-4819B,100000000,610890269,0.163696,7609205,365444,7243761,72.4376,0.951973,7243761,0.951973,0,0,0,0,0,0,0,0
gap,sssp,sssp.web-1185B,100000003,275959605,0.362372,1147764,426081,721683,7.21683,0.628773,721674,0.628765,9,7.84133e-06,0,0,0,0,0,0
gap,tc,tc.twitter-34B,100000000,172198228,0.580726,406925,18799,388126,3.88126,0.953802,388125,0.9538,1,2.45746e-06,0,0,0,0,0,0
gap,tc,tc.urand-1112B,100000002,659694353,0.151585,825679,15335,810344,8.10344,0.981427,810344,0.981427,0,0,0,0,0,0,0,0
gap,tc,tc.urand-187B,100000000,699599328,0.142939,946049,16508,929541,9.29541,0.982551,929541,0.982551,0,0,0,0,0,0,0,0
gap,tc,tc.urand-455B,100000000,867331736,0.115296,1497433,19219,1478214,14.7821,0.987165,1478214,0.987165,0,0,0,0,0,0,0,0
gap,tc,tc.urand-504B,100000000,772041393,0.129527,1181735,17721,1164014,11.6401,0.985004,1164014,0.985004,0,0,0,0,0,0,0,0
gap,tc,tc.urand-825B,100000001,1403805629,0.0712349,3970756,80454,3890302,38.903,0.979738,3890302,0.979738,0,0,0,0,0,0,0,0
ligra,ligra_BC,ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M,100000002,190039950,0.526205,532153,416955,115198,1.15198,0.216475,115196,0.216472,2,3.75832e-06,0,0,0,0,0,0
ligra,ligra_BFS,ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M,100000000,187119977,0.534416,490443,385981,104462,1.04462,0.212995,104404,0.212877,58,0.00011826,0,0,0,0,0,0
