dataset,workload,trace_tag,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,0.67974500000000004,0.68164800000000003,1.002799579253985,0.70074800000000004,1.0308983515877277,0.68317399999999995,1.0050445387608586,0.70089599999999996,1.0311160802948163
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,0.61429,0.64261599999999997,1.0461117713132233,0.64997799999999994,1.058096338862752,0.64097099999999996,1.0434338830194207,0.65726700000000005,1.0699620700320696
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,0.278312,0.278812,1.0017965448848773,0.28834500000000002,1.03604946965995,0.278781,1.0016851591020151,0.28841800000000001,1.0363117652131422
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_32000M.length_250M,0.272422,0.27374900000000002,1.0048711190726154,0.278252,1.0214006210952127,0.276667,1.0155824419466857,0.27838299999999999,1.0218814926841444
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_36000M.length_250M,0.27287800000000001,0.27706199999999997,1.0153328593730531,0.28626099999999999,1.0490438950739891,0.27719700000000003,1.0158275859541628,0.28665200000000002,1.050476769838536
qmm,fp,compute_fp_1_new,0.60767000000000004,0.62531499999999995,1.0290371418697646,0.63401399999999997,1.0433524774960092,0.62568900000000005,1.0296526075007817,0.63698600000000005,1.048243289943555
qmm,fp,compute_fp_5_new,0.85034699999999996,0.92797099999999999,1.0912850871467765,0.94761700000000004,1.1143885966552478,0.91883999999999999,1.080547117823665,0.94869800000000004,1.1156598423937523
qmm,fp,compute_fp_7_new,0.44843899999999998,0.45395099999999999,1.0122915268297361,0.46537899999999999,1.03777548339908,0.45346900000000001,1.0112166872194435,0.46532699999999999,1.0376595255987995
qmm,int,compute_int_14_new,1.7942400000000001,1.7845200000000001,0.99458266452648481,1.86347,1.0385845817727839,1.7713000000000001,0.98721464241127166,1.8835999999999999,1.0498038166577492
qmm,int,compute_int_23_new,0.39788400000000002,0.51675000000000004,1.298745362970112,0.53825400000000001,1.3527912657960612,0.51322999999999996,1.2898985634003879,0.54128900000000002,1.3604191171296156
qmm,int,compute_int_27_new,0.53003800000000001,0.53737199999999996,1.0138367437806346,0.59075,1.1145427308985394,0.53598199999999996,1.0112142902961674,0.60347600000000001,1.1385523302102869
qmm,int,compute_int_2_new,0.140934,0.14097899999999999,1.0003192983949933,0.14476900000000001,1.0272113187733265,0.14070199999999999,0.99835383938581168,0.144756,1.0271190770147729
qmm,int,compute_int_34_new,0.74441900000000005,0.82638900000000004,1.110112718778,0.82901199999999997,1.113636272045716,0.82974400000000004,1.1146195892367068,0.83499299999999999,1.1216707257606267
