dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
qmm,qmm_srv,srv_4_new,100000000,52763724,1.89524,1651054,1492781,158273,1.58273,0.0958618,104054,0.0630228,54219,0.032839,0,0,0,0,0,0
qmm,qmm_srv,srv_5_new,100000002,52096727,1.91951,1664388,1504589,159799,1.59799,0.0960107,104096,0.0625431,55703,0.0334676,0,0,0,0,0,0
qmm,qmm_srv,srv_60_new,100000003,64068495,1.56083,1667893,1414617,253276,2.53276,0.151854,162463,0.0974061,90813,0.0544477,0,0,0,0,0,0
qmm,qmm_srv,srv_61_new,100000003,62111686,1.61,1621414,1392508,228906,2.28906,0.141177,141806,0.0874582,87100,0.0537185,0,0,0,0,0,0
qmm,qmm_srv,srv_62_new,100000000,55220531,1.81092,1620711,1449844,170867,1.70867,0.105427,111587,0.0688506,59280,0.0365765,0,0,0,0,0,0
qmm,qmm_srv,srv_63_new,100000003,55183373,1.81214,1650514,1472913,177601,1.77601,0.107603,116051,0.070312,61550,0.0372914,0,0,0,0,0,0
qmm,qmm_srv,srv_64_new,100000004,51824911,1.92957,1632591,1472402,160189,1.60189,0.0981195,104307,0.0638905,55882,0.034229,0,0,0,0,0,0
qmm,qmm_srv,srv_65_new,100000000,51578868,1.93878,1543347,1386471,156876,1.56876,0.101647,102189,0.0662126,54687,0.035434,0,0,0,0,0,0
qmm,qmm_srv,srv_66_new,100000004,54967436,1.81926,1629416,1458145,171271,1.71271,0.105112,109070,0.0669381,62201,0.0381738,0,0,0,0,0,0
qmm,qmm_srv,srv_67_new,100000004,53889098,1.85566,1640564,1477167,163397,1.63397,0.0995981,104385,0.0636275,59012,0.0359706,0,0,0,0,0,0
qmm,qmm_srv,srv_68_new,100000002,57472829,1.73995,1538865,1348703,190162,1.90162,0.123573,122892,0.0798589,67270,0.043714,0,0,0,0,0,0
qmm,qmm_srv,srv_69_new,100000001,66474409,1.50434,1598987,1372230,226757,2.26757,0.141813,142347,0.0890232,84410,0.0527897,0,0,0,0,0,0
qmm,qmm_srv,srv_6_new,100000003,53167042,1.88086,1613343,1441377,171966,1.71966,0.10659,110555,0.0685254,61411,0.0380644,0,0,0,0,0,0
qmm,qmm_srv,srv_7_new,100000004,58817712,1.70017,1563879,1351072,212807,2.12807,0.136076,132100,0.0844695,80707,0.0516069,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_1250M.length_250M,100000002,200429375,0.498929,866866,565927,300939,3.00939,0.347157,300895,0.347107,44,5.07576e-05,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_3000M.length_250M,100000004,254832813,0.392414,1218474,743320,475154,4.75154,0.389958,475122,0.389932,32,2.62624e-05,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_4500M.length_250M,100000000,265325269,0.376896,1323992,804098,519894,5.19894,0.392672,519864,0.392649,30,2.26587e-05,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_4750M.length_250M,100000002,335037027,0.298474,2500493,1273480,1227013,12.2701,0.490708,1227006,0.490706,7,2.79945e-06,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_5000M.length_15M,100000003,341418335,0.292896,2779736,1527249,1252487,12.5249,0.450578,1252487,0.450578,0,0,0,0,0,0,0,0
parsec,parsec_canneal,parsec_2.1.canneal.simlarge.prebuilt.drop_500M.length_250M,100000001,151546603,0.659863,639756,475411,164345,1.64345,0.256887,164291,0.256803,54,8.44072e-05,0,0,0,0,0,0
xsbench,xsbench_XL100hash,xs.XL100hash-194B,100000002,461575841,0.216649,836225,14556,821669,8.21669,0.982593,821669,0.982593,0,0,0,0,0,0,0,0
xsbench,xsbench_XL100hash,xs.XL100hash-28B,100000004,195480337,0.51156,1033367,930467,102900,1.029,0.0995774,102900,0.0995774,0,0,0,0,0,0,0,0
